/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k1.5_osc25_vh16] Epoch 0001 | Train 0.151382 | Val 0.126996 | TF 1.0000 | best 0.126996@1
[lr0.0003_k1.5_osc25_vh16] Epoch 0002 | Train 0.113819 | Val 0.094759 | TF 0.9964 | best 0.094759@2
[lr0.0003_k1.5_osc25_vh16] Epoch 0003 | Train 0.084930 | Val 0.070112 | TF 0.9928 | best 0.070112@3
[lr0.0003_k1.5_osc25_vh16] Epoch 0004 | Train 0.063042 | Val 0.051688 | TF 0.9892 | best 0.051688@4
[lr0.0003_k1.5_osc25_vh16] Epoch 0005 | Train 0.046556 | Val 0.038171 | TF 0.9855 | best 0.038171@5
[lr0.0003_k1.5_osc25_vh16] Epoch 0006 | Train 0.034761 | Val 0.028517 | TF 0.9819 | best 0.028517@6
[lr0.0003_k1.5_osc25_vh16] Epoch 0007 | Train 0.026374 | Val 0.021807 | TF 0.9783 | best 0.021807@7
[lr0.0003_k1.5_osc25_vh16] Epoch 0008 | Train 0.020418 | Val 0.017290 | TF 0.9747 | best 0.017290@8
[lr0.0003_k1.5_osc25_vh16] Epoch 0009 | Train 0.016526 | Val 0.014404 | TF 0.9711 | best 0.014404@9
[lr0.0003_k1.5_osc25_vh16] Epoch 0010 | Train 0.014018 | Val 0.012580 | TF 0.9675 | best 0.012580@10
[lr0.0003_k1.5_osc25_vh16] Epoch 0011 | Train 0.012549 | Val 0.011512 | TF 0.9639 | best 0.011512@11
[lr0.0003_k1.5_osc25_vh16] Epoch 0012 | Train 0.011540 | Val 0.010829 | TF 0.9602 | best 0.010829@12
[lr0.0003_k1.5_osc25_vh16] Epoch 0013 | Train 0.011021 | Val 0.010425 | TF 0.9566 | best 0.010425@13
