/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.001_k0.5_osc25_vh16] Epoch 0001 | Train 0.113485 | Val 0.060315 | TF 1.0000 | best 0.060315@1
[lr0.001_k0.5_osc25_vh16] Epoch 0002 | Train 0.039069 | Val 0.020173 | TF 0.9964 | best 0.020173@2
[lr0.001_k0.5_osc25_vh16] Epoch 0003 | Train 0.015686 | Val 0.011931 | TF 0.9928 | best 0.011931@3
[lr0.001_k0.5_osc25_vh16] Epoch 0004 | Train 0.011523 | Val 0.010501 | TF 0.9892 | best 0.010501@4
[lr0.001_k0.5_osc25_vh16] Epoch 0005 | Train 0.010397 | Val 0.009687 | TF 0.9855 | best 0.009687@5
[lr0.001_k0.5_osc25_vh16] Epoch 0006 | Train 0.009820 | Val 0.009241 | TF 0.9819 | best 0.009241@6
[lr0.001_k0.5_osc25_vh16] Epoch 0007 | Train 0.009516 | Val 0.009117 | TF 0.9783 | best 0.009117@7
[lr0.001_k0.5_osc25_vh16] Epoch 0008 | Train 0.009191 | Val 0.008762 | TF 0.9747 | best 0.008762@8
[lr0.001_k0.5_osc25_vh16] Epoch 0009 | Train 0.008867 | Val 0.008383 | TF 0.9711 | best 0.008383@9
[lr0.001_k0.5_osc25_vh16] Epoch 0010 | Train 0.008229 | Val 0.007595 | TF 0.9675 | best 0.007595@10
[lr0.001_k0.5_osc25_vh16] Epoch 0011 | Train 0.007289 | Val 0.006601 | TF 0.9639 | best 0.006601@11
[lr0.001_k0.5_osc25_vh16] Epoch 0012 | Train 0.006104 | Val 0.005417 | TF 0.9602 | best 0.005417@12
[lr0.001_k0.5_osc25_vh16] Epoch 0013 | Train 0.005016 | Val 0.004586 | TF 0.9566 | best 0.004586@13
[lr0.001_k0.5_osc25_vh16] Epoch 0014 | Train 0.004140 | Val 0.003786 | TF 0.9530 | best 0.003786@14
[lr0.001_k0.5_osc25_vh16] Epoch 0015 | Train 0.003413 | Val 0.003272 | TF 0.9494 | best 0.003272@15
[lr0.001_k0.5_osc25_vh16] Epoch 0016 | Train 0.002907 | Val 0.002758 | TF 0.9458 | best 0.002758@16
[lr0.001_k0.5_osc25_vh16] Epoch 0017 | Train 0.002484 | Val 0.002409 | TF 0.9422 | best 0.002409@17
[lr0.001_k0.5_osc25_vh16] Epoch 0018 | Train 0.002169 | Val 0.002361 | TF 0.9386 | best 0.002361@18
[lr0.001_k0.5_osc25_vh16] Epoch 0019 | Train 0.001988 | Val 0.002184 | TF 0.9349 | best 0.002184@19
[lr0.001_k0.5_osc25_vh16] Epoch 0020 | Train 0.001804 | Val 0.002013 | TF 0.9313 | best 0.002013@20
[lr0.001_k0.5_osc25_vh16] Epoch 0021 | Train 0.001633 | Val 0.001710 | TF 0.9277 | best 0.001710@21
[lr0.001_k0.5_osc25_vh16] Epoch 0022 | Train 0.001529 | Val 0.001538 | TF 0.9241 | best 0.001538@22
[lr0.001_k0.5_osc25_vh16] Epoch 0023 | Train 0.001436 | Val 0.001530 | TF 0.9205 | best 0.001530@23
[lr0.001_k0.5_osc25_vh16] Epoch 0024 | Train 0.001407 | Val 0.001591 | TF 0.9169 | best 0.001530@23
[lr0.001_k0.5_osc25_vh16] Epoch 0025 | Train 0.001310 | Val 0.001538 | TF 0.9133 | best 0.001530@23
