/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k1.5_osc50_vh32] Epoch 0001 | Train 0.032202 | Val 0.020349 | TF 1.0000 | best 0.020349@1
[lr0.0003_k1.5_osc50_vh32] Epoch 0002 | Train 0.015559 | Val 0.011922 | TF 0.9964 | best 0.011922@2
[lr0.0003_k1.5_osc50_vh32] Epoch 0003 | Train 0.011118 | Val 0.010069 | TF 0.9928 | best 0.010069@3
[lr0.0003_k1.5_osc50_vh32] Epoch 0004 | Train 0.010194 | Val 0.009535 | TF 0.9892 | best 0.009535@4
[lr0.0003_k1.5_osc50_vh32] Epoch 0005 | Train 0.009804 | Val 0.009219 | TF 0.9855 | best 0.009219@5
[lr0.0003_k1.5_osc50_vh32] Epoch 0006 | Train 0.009596 | Val 0.009132 | TF 0.9819 | best 0.009132@6
[lr0.0003_k1.5_osc50_vh32] Epoch 0007 | Train 0.009455 | Val 0.009055 | TF 0.9783 | best 0.009055@7
[lr0.0003_k1.5_osc50_vh32] Epoch 0008 | Train 0.009416 | Val 0.009034 | TF 0.9747 | best 0.009034@8
[lr0.0003_k1.5_osc50_vh32] Epoch 0009 | Train 0.009491 | Val 0.008911 | TF 0.9711 | best 0.008911@9
[lr0.0003_k1.5_osc50_vh32] Epoch 0010 | Train 0.009283 | Val 0.008893 | TF 0.9675 | best 0.008893@10
[lr0.0003_k1.5_osc50_vh32] Epoch 0011 | Train 0.009229 | Val 0.008805 | TF 0.9639 | best 0.008805@11
[lr0.0003_k1.5_osc50_vh32] Epoch 0012 | Train 0.009170 | Val 0.008725 | TF 0.9602 | best 0.008725@12
[lr0.0003_k1.5_osc50_vh32] Epoch 0013 | Train 0.008972 | Val 0.008665 | TF 0.9566 | best 0.008665@13
[lr0.0003_k1.5_osc50_vh32] Epoch 0014 | Train 0.008768 | Val 0.008368 | TF 0.9530 | best 0.008368@14
[lr0.0003_k1.5_osc50_vh32] Epoch 0015 | Train 0.008528 | Val 0.008048 | TF 0.9494 | best 0.008048@15
[lr0.0003_k1.5_osc50_vh32] Epoch 0016 | Train 0.008017 | Val 0.007360 | TF 0.9458 | best 0.007360@16
[lr0.0003_k1.5_osc50_vh32] Epoch 0017 | Train 0.007233 | Val 0.006552 | TF 0.9422 | best 0.006552@17
[lr0.0003_k1.5_osc50_vh32] Epoch 0018 | Train 0.006401 | Val 0.005669 | TF 0.9386 | best 0.005669@18
[lr0.0003_k1.5_osc50_vh32] Epoch 0019 | Train 0.005440 | Val 0.004854 | TF 0.9349 | best 0.004854@19
