/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.001_k1.5_osc50_vh32] Epoch 0001 | Train 0.019990 | Val 0.011388 | TF 1.0000 | best 0.011388@1
[lr0.001_k1.5_osc50_vh32] Epoch 0002 | Train 0.011093 | Val 0.009467 | TF 0.9964 | best 0.009467@2
[lr0.001_k1.5_osc50_vh32] Epoch 0003 | Train 0.009792 | Val 0.009234 | TF 0.9928 | best 0.009234@3
[lr0.001_k1.5_osc50_vh32] Epoch 0004 | Train 0.009356 | Val 0.008618 | TF 0.9892 | best 0.008618@4
[lr0.001_k1.5_osc50_vh32] Epoch 0005 | Train 0.009004 | Val 0.008215 | TF 0.9855 | best 0.008215@5
[lr0.001_k1.5_osc50_vh32] Epoch 0006 | Train 0.007862 | Val 0.006678 | TF 0.9819 | best 0.006678@6
[lr0.001_k1.5_osc50_vh32] Epoch 0007 | Train 0.005557 | Val 0.004304 | TF 0.9783 | best 0.004304@7
[lr0.001_k1.5_osc50_vh32] Epoch 0008 | Train 0.003844 | Val 0.003363 | TF 0.9747 | best 0.003363@8
[lr0.001_k1.5_osc50_vh32] Epoch 0009 | Train 0.002931 | Val 0.002497 | TF 0.9711 | best 0.002497@9
[lr0.001_k1.5_osc50_vh32] Epoch 0010 | Train 0.002226 | Val 0.002009 | TF 0.9675 | best 0.002009@10
[lr0.001_k1.5_osc50_vh32] Epoch 0011 | Train 0.001789 | Val 0.001958 | TF 0.9639 | best 0.001958@11
[lr0.001_k1.5_osc50_vh32] Epoch 0012 | Train 0.001556 | Val 0.001504 | TF 0.9602 | best 0.001504@12
[lr0.001_k1.5_osc50_vh32] Epoch 0013 | Train 0.001354 | Val 0.001686 | TF 0.9566 | best 0.001504@12
[lr0.001_k1.5_osc50_vh32] Epoch 0014 | Train 0.001181 | Val 0.001173 | TF 0.9530 | best 0.001173@14
[lr0.001_k1.5_osc50_vh32] Epoch 0015 | Train 0.001080 | Val 0.001210 | TF 0.9494 | best 0.001173@14
[lr0.001_k1.5_osc50_vh32] Epoch 0016 | Train 0.001020 | Val 0.001103 | TF 0.9458 | best 0.001103@16
[lr0.001_k1.5_osc50_vh32] Epoch 0017 | Train 0.000968 | Val 0.001091 | TF 0.9422 | best 0.001091@17
[lr0.001_k1.5_osc50_vh32] Epoch 0018 | Train 0.000975 | Val 0.001158 | TF 0.9386 | best 0.001091@17
[lr0.001_k1.5_osc50_vh32] Epoch 0019 | Train 0.000923 | Val 0.000966 | TF 0.9349 | best 0.000966@19
[lr0.001_k1.5_osc50_vh32] Epoch 0020 | Train 0.000844 | Val 0.000877 | TF 0.9313 | best 0.000877@20
[lr0.001_k1.5_osc50_vh32] Epoch 0021 | Train 0.000818 | Val 0.000935 | TF 0.9277 | best 0.000877@20
[lr0.001_k1.5_osc50_vh32] Epoch 0022 | Train 0.000786 | Val 0.000945 | TF 0.9241 | best 0.000877@20
[lr0.001_k1.5_osc50_vh32] Epoch 0023 | Train 0.000772 | Val 0.000809 | TF 0.9205 | best 0.000809@23
[lr0.001_k1.5_osc50_vh32] Epoch 0024 | Train 0.000797 | Val 0.000829 | TF 0.9169 | best 0.000809@23
[lr0.001_k1.5_osc50_vh32] Epoch 0025 | Train 0.000754 | Val 0.000806 | TF 0.9133 | best 0.000806@25
[lr0.001_k1.5_osc50_vh32] Epoch 0026 | Train 0.000721 | Val 0.000853 | TF 0.9096 | best 0.000806@25
[lr0.001_k1.5_osc50_vh32] Epoch 0027 | Train 0.000682 | Val 0.000844 | TF 0.9060 | best 0.000806@25
[lr0.001_k1.5_osc50_vh32] Epoch 0028 | Train 0.000649 | Val 0.000783 | TF 0.9024 | best 0.000783@28
[lr0.001_k1.5_osc50_vh32] Epoch 0029 | Train 0.000649 | Val 0.000760 | TF 0.8988 | best 0.000760@29
[lr0.001_k1.5_osc50_vh32] Epoch 0030 | Train 0.000612 | Val 0.000708 | TF 0.8952 | best 0.000708@30
[lr0.001_k1.5_osc50_vh32] Epoch 0031 | Train 0.000588 | Val 0.000852 | TF 0.8916 | best 0.000708@30
[lr0.001_k1.5_osc50_vh32] Epoch 0032 | Train 0.000579 | Val 0.000640 | TF 0.8880 | best 0.000640@32
[lr0.001_k1.5_osc50_vh32] Epoch 0033 | Train 0.000534 | Val 0.000652 | TF 0.8843 | best 0.000640@32
[lr0.001_k1.5_osc50_vh32] Epoch 0034 | Train 0.000490 | Val 0.000590 | TF 0.8807 | best 0.000590@34
[lr0.001_k1.5_osc50_vh32] Epoch 0035 | Train 0.000460 | Val 0.000627 | TF 0.8771 | best 0.000590@34
[lr0.001_k1.5_osc50_vh32] Epoch 0036 | Train 0.000419 | Val 0.000498 | TF 0.8735 | best 0.000498@36
[lr0.001_k1.5_osc50_vh32] Epoch 0037 | Train 0.000363 | Val 0.000467 | TF 0.8699 | best 0.000467@37
[lr0.001_k1.5_osc50_vh32] Epoch 0038 | Train 0.000323 | Val 0.000465 | TF 0.8663 | best 0.000465@38
[lr0.001_k1.5_osc50_vh32] Epoch 0039 | Train 0.000293 | Val 0.000476 | TF 0.8627 | best 0.000465@38
[lr0.001_k1.5_osc50_vh32] Epoch 0040 | Train 0.000277 | Val 0.000410 | TF 0.8590 | best 0.000410@40
[lr0.001_k1.5_osc50_vh32] Epoch 0041 | Train 0.000249 | Val 0.000397 | TF 0.8554 | best 0.000397@41
[lr0.001_k1.5_osc50_vh32] Epoch 0042 | Train 0.000231 | Val 0.000315 | TF 0.8518 | best 0.000315@42
[lr0.001_k1.5_osc50_vh32] Epoch 0043 | Train 0.000213 | Val 0.000331 | TF 0.8482 | best 0.000315@42
[lr0.001_k1.5_osc50_vh32] Epoch 0044 | Train 0.000199 | Val 0.000299 | TF 0.8446 | best 0.000299@44
[lr0.001_k1.5_osc50_vh32] Epoch 0045 | Train 0.000192 | Val 0.000302 | TF 0.8410 | best 0.000299@44
[lr0.001_k1.5_osc50_vh32] Epoch 0046 | Train 0.000176 | Val 0.000273 | TF 0.8373 | best 0.000273@46
[lr0.001_k1.5_osc50_vh32] Epoch 0047 | Train 0.000166 | Val 0.000222 | TF 0.8337 | best 0.000222@47
[lr0.001_k1.5_osc50_vh32] Epoch 0048 | Train 0.000159 | Val 0.000236 | TF 0.8301 | best 0.000222@47
[lr0.001_k1.5_osc50_vh32] Epoch 0049 | Train 0.000148 | Val 0.000241 | TF 0.8265 | best 0.000222@47
