/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k0.5_osc50_vh32] Epoch 0046 | Train 0.000844 | Val 0.000959 | TF 0.8373 | best 0.000959@46
[lr0.0003_k0.5_osc50_vh32] Epoch 0047 | Train 0.000847 | Val 0.000929 | TF 0.8337 | best 0.000929@47
[lr0.0003_k0.5_osc50_vh32] Epoch 0048 | Train 0.000839 | Val 0.000937 | TF 0.8301 | best 0.000929@47
[lr0.0003_k0.5_osc50_vh32] Epoch 0049 | Train 0.000807 | Val 0.000990 | TF 0.8265 | best 0.000929@47
[lr0.0003_k0.5_osc50_vh32] Epoch 0050 | Train 0.000806 | Val 0.000886 | TF 0.8229 | best 0.000886@50
[lr0.0003_k0.5_osc50_vh32] Epoch 0051 | Train 0.000792 | Val 0.000930 | TF 0.8193 | best 0.000886@50
[lr0.0003_k0.5_osc50_vh32] Epoch 0052 | Train 0.000790 | Val 0.000975 | TF 0.8157 | best 0.000886@50
[lr0.0003_k0.5_osc50_vh32] Epoch 0053 | Train 0.000778 | Val 0.000922 | TF 0.8120 | best 0.000886@50
[lr0.0003_k0.5_osc50_vh32] Epoch 0054 | Train 0.000763 | Val 0.000890 | TF 0.8084 | best 0.000886@50
[lr0.0003_k0.5_osc50_vh32] Epoch 0055 | Train 0.000761 | Val 0.000886 | TF 0.8048 | best 0.000886@50
[lr0.0003_k0.5_osc50_vh32] Epoch 0056 | Train 0.000741 | Val 0.000869 | TF 0.8012 | best 0.000869@56
[lr0.0003_k0.5_osc50_vh32] Epoch 0057 | Train 0.000737 | Val 0.000879 | TF 0.7976 | best 0.000869@56
[lr0.0003_k0.5_osc50_vh32] Epoch 0058 | Train 0.000708 | Val 0.000844 | TF 0.7940 | best 0.000844@58
[lr0.0003_k0.5_osc50_vh32] Epoch 0059 | Train 0.000711 | Val 0.000849 | TF 0.7904 | best 0.000844@58
[lr0.0003_k0.5_osc50_vh32] Epoch 0060 | Train 0.000694 | Val 0.000851 | TF 0.7867 | best 0.000844@58
[lr0.0003_k0.5_osc50_vh32] Epoch 0061 | Train 0.000688 | Val 0.000862 | TF 0.7831 | best 0.000844@58
[lr0.0003_k0.5_osc50_vh32] Epoch 0062 | Train 0.000674 | Val 0.000834 | TF 0.7795 | best 0.000834@62
[lr0.0003_k0.5_osc50_vh32] Epoch 0063 | Train 0.000669 | Val 0.000849 | TF 0.7759 | best 0.000834@62
[lr0.0003_k0.5_osc50_vh32] Epoch 0064 | Train 0.000663 | Val 0.000822 | TF 0.7723 | best 0.000822@64
[lr0.0003_k0.5_osc50_vh32] Epoch 0065 | Train 0.000644 | Val 0.000799 | TF 0.7687 | best 0.000799@65
[lr0.0003_k0.5_osc50_vh32] Epoch 0066 | Train 0.000643 | Val 0.000828 | TF 0.7651 | best 0.000799@65
[lr0.0003_k0.5_osc50_vh32] Epoch 0067 | Train 0.000647 | Val 0.000816 | TF 0.7614 | best 0.000799@65
[lr0.0003_k0.5_osc50_vh32] Epoch 0068 | Train 0.000616 | Val 0.000727 | TF 0.7578 | best 0.000727@68
[lr0.0003_k0.5_osc50_vh32] Epoch 0069 | Train 0.000611 | Val 0.000758 | TF 0.7542 | best 0.000727@68
[lr0.0003_k0.5_osc50_vh32] Epoch 0070 | Train 0.000593 | Val 0.000710 | TF 0.7506 | best 0.000710@70
[lr0.0003_k0.5_osc50_vh32] Epoch 0071 | Train 0.000572 | Val 0.000690 | TF 0.7470 | best 0.000690@71
[lr0.0003_k0.5_osc50_vh32] Epoch 0072 | Train 0.000570 | Val 0.000704 | TF 0.7434 | best 0.000690@71
[lr0.0003_k0.5_osc50_vh32] Epoch 0073 | Train 0.000552 | Val 0.000647 | TF 0.7398 | best 0.000647@73
