/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.001_k0.5_osc25_vh32] Epoch 0001 | Train 0.084700 | Val 0.043330 | TF 1.0000 | best 0.043330@1
[lr0.001_k0.5_osc25_vh32] Epoch 0002 | Train 0.026415 | Val 0.015156 | TF 0.9964 | best 0.015156@2
[lr0.001_k0.5_osc25_vh32] Epoch 0003 | Train 0.012884 | Val 0.010731 | TF 0.9928 | best 0.010731@3
[lr0.001_k0.5_osc25_vh32] Epoch 0004 | Train 0.010398 | Val 0.009526 | TF 0.9892 | best 0.009526@4
[lr0.001_k0.5_osc25_vh32] Epoch 0005 | Train 0.009570 | Val 0.008913 | TF 0.9855 | best 0.008913@5
[lr0.001_k0.5_osc25_vh32] Epoch 0006 | Train 0.008886 | Val 0.008227 | TF 0.9819 | best 0.008227@6
[lr0.001_k0.5_osc25_vh32] Epoch 0007 | Train 0.007762 | Val 0.006968 | TF 0.9783 | best 0.006968@7
[lr0.001_k0.5_osc25_vh32] Epoch 0008 | Train 0.006260 | Val 0.005777 | TF 0.9747 | best 0.005777@8
[lr0.001_k0.5_osc25_vh32] Epoch 0009 | Train 0.004933 | Val 0.004573 | TF 0.9711 | best 0.004573@9
[lr0.001_k0.5_osc25_vh32] Epoch 0010 | Train 0.003956 | Val 0.003794 | TF 0.9675 | best 0.003794@10
[lr0.001_k0.5_osc25_vh32] Epoch 0011 | Train 0.003286 | Val 0.003233 | TF 0.9639 | best 0.003233@11
[lr0.001_k0.5_osc25_vh32] Epoch 0012 | Train 0.002774 | Val 0.002710 | TF 0.9602 | best 0.002710@12
[lr0.001_k0.5_osc25_vh32] Epoch 0013 | Train 0.002398 | Val 0.002325 | TF 0.9566 | best 0.002325@13
[lr0.001_k0.5_osc25_vh32] Epoch 0014 | Train 0.002106 | Val 0.002150 | TF 0.9530 | best 0.002150@14
[lr0.001_k0.5_osc25_vh32] Epoch 0015 | Train 0.001872 | Val 0.001889 | TF 0.9494 | best 0.001889@15
[lr0.001_k0.5_osc25_vh32] Epoch 0016 | Train 0.001681 | Val 0.001727 | TF 0.9458 | best 0.001727@16
[lr0.001_k0.5_osc25_vh32] Epoch 0017 | Train 0.001542 | Val 0.001650 | TF 0.9422 | best 0.001650@17
[lr0.001_k0.5_osc25_vh32] Epoch 0018 | Train 0.001426 | Val 0.001453 | TF 0.9386 | best 0.001453@18
[lr0.001_k0.5_osc25_vh32] Epoch 0019 | Train 0.001319 | Val 0.001581 | TF 0.9349 | best 0.001453@18
[lr0.001_k0.5_osc25_vh32] Epoch 0020 | Train 0.001242 | Val 0.001287 | TF 0.9313 | best 0.001287@20
[lr0.001_k0.5_osc25_vh32] Epoch 0021 | Train 0.001190 | Val 0.001234 | TF 0.9277 | best 0.001234@21
[lr0.001_k0.5_osc25_vh32] Epoch 0022 | Train 0.001105 | Val 0.001318 | TF 0.9241 | best 0.001234@21
[lr0.001_k0.5_osc25_vh32] Epoch 0023 | Train 0.001047 | Val 0.001239 | TF 0.9205 | best 0.001234@21
[lr0.001_k0.5_osc25_vh32] Epoch 0024 | Train 0.001003 | Val 0.001184 | TF 0.9169 | best 0.001184@24
[lr0.001_k0.5_osc25_vh32] Epoch 0025 | Train 0.000976 | Val 0.001087 | TF 0.9133 | best 0.001087@25
[lr0.001_k0.5_osc25_vh32] Epoch 0026 | Train 0.000913 | Val 0.001074 | TF 0.9096 | best 0.001074@26
[lr0.001_k0.5_osc25_vh32] Epoch 0027 | Train 0.000870 | Val 0.000951 | TF 0.9060 | best 0.000951@27
[lr0.001_k0.5_osc25_vh32] Epoch 0028 | Train 0.000840 | Val 0.000981 | TF 0.9024 | best 0.000951@27
[lr0.001_k0.5_osc25_vh32] Epoch 0029 | Train 0.000802 | Val 0.000984 | TF 0.8988 | best 0.000951@27
[lr0.001_k0.5_osc25_vh32] Epoch 0030 | Train 0.000764 | Val 0.000886 | TF 0.8952 | best 0.000886@30
[lr0.001_k0.5_osc25_vh32] Epoch 0031 | Train 0.000725 | Val 0.000850 | TF 0.8916 | best 0.000850@31
[lr0.001_k0.5_osc25_vh32] Epoch 0032 | Train 0.000673 | Val 0.000946 | TF 0.8880 | best 0.000850@31
[lr0.001_k0.5_osc25_vh32] Epoch 0033 | Train 0.000632 | Val 0.000784 | TF 0.8843 | best 0.000784@33
[lr0.001_k0.5_osc25_vh32] Epoch 0034 | Train 0.000605 | Val 0.000933 | TF 0.8807 | best 0.000784@33
[lr0.001_k0.5_osc25_vh32] Epoch 0035 | Train 0.000579 | Val 0.000776 | TF 0.8771 | best 0.000776@35
[lr0.001_k0.5_osc25_vh32] Epoch 0036 | Train 0.000512 | Val 0.000729 | TF 0.8735 | best 0.000729@36
[lr0.001_k0.5_osc25_vh32] Epoch 0037 | Train 0.000484 | Val 0.000780 | TF 0.8699 | best 0.000729@36
[lr0.001_k0.5_osc25_vh32] Epoch 0038 | Train 0.000457 | Val 0.000730 | TF 0.8663 | best 0.000729@36
[lr0.001_k0.5_osc25_vh32] Epoch 0039 | Train 0.000414 | Val 0.000754 | TF 0.8627 | best 0.000729@36
[lr0.001_k0.5_osc25_vh32] Epoch 0040 | Train 0.000380 | Val 0.000581 | TF 0.8590 | best 0.000581@40
[lr0.001_k0.5_osc25_vh32] Epoch 0041 | Train 0.000360 | Val 0.000839 | TF 0.8554 | best 0.000581@40
[lr0.001_k0.5_osc25_vh32] Epoch 0042 | Train 0.000375 | Val 0.000722 | TF 0.8518 | best 0.000581@40
[lr0.001_k0.5_osc25_vh32] Epoch 0043 | Train 0.000340 | Val 0.000476 | TF 0.8482 | best 0.000476@43
[lr0.001_k0.5_osc25_vh32] Epoch 0044 | Train 0.000320 | Val 0.000478 | TF 0.8446 | best 0.000476@43
[lr0.001_k0.5_osc25_vh32] Epoch 0045 | Train 0.000283 | Val 0.000427 | TF 0.8410 | best 0.000427@45
[lr0.001_k0.5_osc25_vh32] Epoch 0046 | Train 0.000261 | Val 0.000410 | TF 0.8373 | best 0.000410@46
[lr0.001_k0.5_osc25_vh32] Epoch 0047 | Train 0.000253 | Val 0.000409 | TF 0.8337 | best 0.000409@47
[lr0.001_k0.5_osc25_vh32] Epoch 0048 | Train 0.000245 | Val 0.000365 | TF 0.8301 | best 0.000365@48
[lr0.001_k0.5_osc25_vh32] Epoch 0049 | Train 0.000227 | Val 0.000386 | TF 0.8265 | best 0.000365@48
[lr0.001_k0.5_osc25_vh32] Epoch 0050 | Train 0.000216 | Val 0.000362 | TF 0.8229 | best 0.000362@50
[lr0.001_k0.5_osc25_vh32] Epoch 0051 | Train 0.000209 | Val 0.000431 | TF 0.8193 | best 0.000362@50
[lr0.001_k0.5_osc25_vh32] Epoch 0052 | Train 0.000206 | Val 0.000402 | TF 0.8157 | best 0.000362@50
[lr0.001_k0.5_osc25_vh32] Epoch 0053 | Train 0.000197 | Val 0.000426 | TF 0.8120 | best 0.000362@50
[lr0.001_k0.5_osc25_vh32] Epoch 0054 | Train 0.000192 | Val 0.000369 | TF 0.8084 | best 0.000362@50
[lr0.001_k0.5_osc25_vh32] Epoch 0055 | Train 0.000187 | Val 0.000390 | TF 0.8048 | best 0.000362@50
[lr0.001_k0.5_osc25_vh32] Epoch 0056 | Train 0.000184 | Val 0.000347 | TF 0.8012 | best 0.000347@56
[lr0.001_k0.5_osc25_vh32] Epoch 0057 | Train 0.000173 | Val 0.000325 | TF 0.7976 | best 0.000325@57
[lr0.001_k0.5_osc25_vh32] Epoch 0058 | Train 0.000169 | Val 0.000312 | TF 0.7940 | best 0.000312@58
[lr0.001_k0.5_osc25_vh32] Epoch 0059 | Train 0.000163 | Val 0.000258 | TF 0.7904 | best 0.000258@59
[lr0.001_k0.5_osc25_vh32] Epoch 0060 | Train 0.000158 | Val 0.000265 | TF 0.7867 | best 0.000258@59
[lr0.001_k0.5_osc25_vh32] Epoch 0061 | Train 0.000156 | Val 0.000263 | TF 0.7831 | best 0.000258@59
[lr0.001_k0.5_osc25_vh32] Epoch 0062 | Train 0.000152 | Val 0.000234 | TF 0.7795 | best 0.000234@62
[lr0.001_k0.5_osc25_vh32] Epoch 0063 | Train 0.000146 | Val 0.000252 | TF 0.7759 | best 0.000234@62
[lr0.001_k0.5_osc25_vh32] Epoch 0064 | Train 0.000143 | Val 0.000232 | TF 0.7723 | best 0.000232@64
[lr0.001_k0.5_osc25_vh32] Epoch 0065 | Train 0.000139 | Val 0.000219 | TF 0.7687 | best 0.000219@65
[lr0.001_k0.5_osc25_vh32] Epoch 0066 | Train 0.000137 | Val 0.000238 | TF 0.7651 | best 0.000219@65
