/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.001_k1.5_osc50_vh16] Epoch 0001 | Train 0.051614 | Val 0.018278 | TF 1.0000 | best 0.018278@1
[lr0.001_k1.5_osc50_vh16] Epoch 0002 | Train 0.013363 | Val 0.010584 | TF 0.9964 | best 0.010584@2
[lr0.001_k1.5_osc50_vh16] Epoch 0003 | Train 0.010569 | Val 0.009660 | TF 0.9928 | best 0.009660@3
[lr0.001_k1.5_osc50_vh16] Epoch 0004 | Train 0.009811 | Val 0.009352 | TF 0.9892 | best 0.009352@4
[lr0.001_k1.5_osc50_vh16] Epoch 0005 | Train 0.009594 | Val 0.009024 | TF 0.9855 | best 0.009024@5
[lr0.001_k1.5_osc50_vh16] Epoch 0006 | Train 0.009415 | Val 0.008910 | TF 0.9819 | best 0.008910@6
[lr0.001_k1.5_osc50_vh16] Epoch 0007 | Train 0.009128 | Val 0.008620 | TF 0.9783 | best 0.008620@7
[lr0.001_k1.5_osc50_vh16] Epoch 0008 | Train 0.008690 | Val 0.008039 | TF 0.9747 | best 0.008039@8
[lr0.001_k1.5_osc50_vh16] Epoch 0009 | Train 0.008026 | Val 0.007716 | TF 0.9711 | best 0.007716@9
[lr0.001_k1.5_osc50_vh16] Epoch 0010 | Train 0.006701 | Val 0.005782 | TF 0.9675 | best 0.005782@10
[lr0.001_k1.5_osc50_vh16] Epoch 0011 | Train 0.005058 | Val 0.004476 | TF 0.9639 | best 0.004476@11
[lr0.001_k1.5_osc50_vh16] Epoch 0012 | Train 0.004017 | Val 0.003787 | TF 0.9602 | best 0.003787@12
[lr0.001_k1.5_osc50_vh16] Epoch 0013 | Train 0.003393 | Val 0.003167 | TF 0.9566 | best 0.003167@13
[lr0.001_k1.5_osc50_vh16] Epoch 0014 | Train 0.002947 | Val 0.002746 | TF 0.9530 | best 0.002746@14
[lr0.001_k1.5_osc50_vh16] Epoch 0015 | Train 0.002583 | Val 0.002438 | TF 0.9494 | best 0.002438@15
[lr0.001_k1.5_osc50_vh16] Epoch 0016 | Train 0.002361 | Val 0.002202 | TF 0.9458 | best 0.002202@16
[lr0.001_k1.5_osc50_vh16] Epoch 0017 | Train 0.002094 | Val 0.002010 | TF 0.9422 | best 0.002010@17
[lr0.001_k1.5_osc50_vh16] Epoch 0018 | Train 0.001902 | Val 0.001864 | TF 0.9386 | best 0.001864@18
[lr0.001_k1.5_osc50_vh16] Epoch 0019 | Train 0.001712 | Val 0.001750 | TF 0.9349 | best 0.001750@19
[lr0.001_k1.5_osc50_vh16] Epoch 0020 | Train 0.001583 | Val 0.001615 | TF 0.9313 | best 0.001615@20
[lr0.001_k1.5_osc50_vh16] Epoch 0021 | Train 0.001433 | Val 0.001613 | TF 0.9277 | best 0.001613@21
[lr0.001_k1.5_osc50_vh16] Epoch 0022 | Train 0.001327 | Val 0.001320 | TF 0.9241 | best 0.001320@22
[lr0.001_k1.5_osc50_vh16] Epoch 0023 | Train 0.001246 | Val 0.001240 | TF 0.9205 | best 0.001240@23
[lr0.001_k1.5_osc50_vh16] Epoch 0024 | Train 0.001189 | Val 0.001215 | TF 0.9169 | best 0.001215@24
[lr0.001_k1.5_osc50_vh16] Epoch 0025 | Train 0.001197 | Val 0.001196 | TF 0.9133 | best 0.001196@25
[lr0.001_k1.5_osc50_vh16] Epoch 0026 | Train 0.001122 | Val 0.001143 | TF 0.9096 | best 0.001143@26
[lr0.001_k1.5_osc50_vh16] Epoch 0027 | Train 0.001053 | Val 0.001068 | TF 0.9060 | best 0.001068@27
