/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.001_k1.5_osc25_vh32] Epoch 0001 | Train 0.084918 | Val 0.043627 | TF 1.0000 | best 0.043627@1
[lr0.001_k1.5_osc25_vh32] Epoch 0002 | Train 0.026569 | Val 0.015166 | TF 0.9964 | best 0.015166@2
[lr0.001_k1.5_osc25_vh32] Epoch 0003 | Train 0.012807 | Val 0.010671 | TF 0.9928 | best 0.010671@3
[lr0.001_k1.5_osc25_vh32] Epoch 0004 | Train 0.010402 | Val 0.009514 | TF 0.9892 | best 0.009514@4
[lr0.001_k1.5_osc25_vh32] Epoch 0005 | Train 0.009576 | Val 0.008904 | TF 0.9855 | best 0.008904@5
[lr0.001_k1.5_osc25_vh32] Epoch 0006 | Train 0.008854 | Val 0.008076 | TF 0.9819 | best 0.008076@6
[lr0.001_k1.5_osc25_vh32] Epoch 0007 | Train 0.007529 | Val 0.006686 | TF 0.9783 | best 0.006686@7
[lr0.001_k1.5_osc25_vh32] Epoch 0008 | Train 0.005989 | Val 0.005610 | TF 0.9747 | best 0.005610@8
[lr0.001_k1.5_osc25_vh32] Epoch 0009 | Train 0.004810 | Val 0.004521 | TF 0.9711 | best 0.004521@9
[lr0.001_k1.5_osc25_vh32] Epoch 0010 | Train 0.003977 | Val 0.003835 | TF 0.9675 | best 0.003835@10
[lr0.001_k1.5_osc25_vh32] Epoch 0011 | Train 0.003383 | Val 0.003402 | TF 0.9639 | best 0.003402@11
[lr0.001_k1.5_osc25_vh32] Epoch 0012 | Train 0.002961 | Val 0.002950 | TF 0.9602 | best 0.002950@12
[lr0.001_k1.5_osc25_vh32] Epoch 0013 | Train 0.002607 | Val 0.002554 | TF 0.9566 | best 0.002554@13
[lr0.001_k1.5_osc25_vh32] Epoch 0014 | Train 0.002405 | Val 0.002426 | TF 0.9530 | best 0.002426@14
[lr0.001_k1.5_osc25_vh32] Epoch 0015 | Train 0.002166 | Val 0.002336 | TF 0.9494 | best 0.002336@15
[lr0.001_k1.5_osc25_vh32] Epoch 0016 | Train 0.001958 | Val 0.001946 | TF 0.9458 | best 0.001946@16
[lr0.001_k1.5_osc25_vh32] Epoch 0017 | Train 0.001797 | Val 0.001789 | TF 0.9422 | best 0.001789@17
[lr0.001_k1.5_osc25_vh32] Epoch 0018 | Train 0.001655 | Val 0.001699 | TF 0.9386 | best 0.001699@18
[lr0.001_k1.5_osc25_vh32] Epoch 0019 | Train 0.001532 | Val 0.001658 | TF 0.9349 | best 0.001658@19
[lr0.001_k1.5_osc25_vh32] Epoch 0020 | Train 0.001440 | Val 0.001454 | TF 0.9313 | best 0.001454@20
[lr0.001_k1.5_osc25_vh32] Epoch 0021 | Train 0.001369 | Val 0.001436 | TF 0.9277 | best 0.001436@21
[lr0.001_k1.5_osc25_vh32] Epoch 0022 | Train 0.001267 | Val 0.001275 | TF 0.9241 | best 0.001275@22
[lr0.001_k1.5_osc25_vh32] Epoch 0023 | Train 0.001201 | Val 0.001374 | TF 0.9205 | best 0.001275@22
[lr0.001_k1.5_osc25_vh32] Epoch 0024 | Train 0.001141 | Val 0.001345 | TF 0.9169 | best 0.001275@22
[lr0.001_k1.5_osc25_vh32] Epoch 0025 | Train 0.001092 | Val 0.001098 | TF 0.9133 | best 0.001098@25
[lr0.001_k1.5_osc25_vh32] Epoch 0026 | Train 0.001010 | Val 0.001140 | TF 0.9096 | best 0.001098@25
[lr0.001_k1.5_osc25_vh32] Epoch 0027 | Train 0.000953 | Val 0.001004 | TF 0.9060 | best 0.001004@27
[lr0.001_k1.5_osc25_vh32] Epoch 0028 | Train 0.000908 | Val 0.001015 | TF 0.9024 | best 0.001004@27
[lr0.001_k1.5_osc25_vh32] Epoch 0029 | Train 0.000871 | Val 0.000985 | TF 0.8988 | best 0.000985@29
[lr0.001_k1.5_osc25_vh32] Epoch 0030 | Train 0.000814 | Val 0.000886 | TF 0.8952 | best 0.000886@30
[lr0.001_k1.5_osc25_vh32] Epoch 0031 | Train 0.000773 | Val 0.000851 | TF 0.8916 | best 0.000851@31
[lr0.001_k1.5_osc25_vh32] Epoch 0032 | Train 0.000722 | Val 0.000823 | TF 0.8880 | best 0.000823@32
[lr0.001_k1.5_osc25_vh32] Epoch 0033 | Train 0.000682 | Val 0.000774 | TF 0.8843 | best 0.000774@33
[lr0.001_k1.5_osc25_vh32] Epoch 0034 | Train 0.000650 | Val 0.000765 | TF 0.8807 | best 0.000765@34
[lr0.001_k1.5_osc25_vh32] Epoch 0035 | Train 0.000616 | Val 0.000695 | TF 0.8771 | best 0.000695@35
[lr0.001_k1.5_osc25_vh32] Epoch 0036 | Train 0.000559 | Val 0.000725 | TF 0.8735 | best 0.000695@35
[lr0.001_k1.5_osc25_vh32] Epoch 0037 | Train 0.000522 | Val 0.000718 | TF 0.8699 | best 0.000695@35
[lr0.001_k1.5_osc25_vh32] Epoch 0038 | Train 0.000486 | Val 0.000795 | TF 0.8663 | best 0.000695@35
[lr0.001_k1.5_osc25_vh32] Epoch 0039 | Train 0.000456 | Val 0.000686 | TF 0.8627 | best 0.000686@39
[lr0.001_k1.5_osc25_vh32] Epoch 0040 | Train 0.000426 | Val 0.000515 | TF 0.8590 | best 0.000515@40
[lr0.001_k1.5_osc25_vh32] Epoch 0041 | Train 0.000395 | Val 0.000639 | TF 0.8554 | best 0.000515@40
[lr0.001_k1.5_osc25_vh32] Epoch 0042 | Train 0.000401 | Val 0.000540 | TF 0.8518 | best 0.000515@40
[lr0.001_k1.5_osc25_vh32] Epoch 0043 | Train 0.000375 | Val 0.000438 | TF 0.8482 | best 0.000438@43
[lr0.001_k1.5_osc25_vh32] Epoch 0044 | Train 0.000362 | Val 0.000682 | TF 0.8446 | best 0.000438@43
[lr0.001_k1.5_osc25_vh32] Epoch 0045 | Train 0.000334 | Val 0.000389 | TF 0.8410 | best 0.000389@45
[lr0.001_k1.5_osc25_vh32] Epoch 0046 | Train 0.000305 | Val 0.000404 | TF 0.8373 | best 0.000389@45
[lr0.001_k1.5_osc25_vh32] Epoch 0047 | Train 0.000296 | Val 0.000410 | TF 0.8337 | best 0.000389@45
[lr0.001_k1.5_osc25_vh32] Epoch 0048 | Train 0.000280 | Val 0.000357 | TF 0.8301 | best 0.000357@48
[lr0.001_k1.5_osc25_vh32] Epoch 0049 | Train 0.000262 | Val 0.000363 | TF 0.8265 | best 0.000357@48
[lr0.001_k1.5_osc25_vh32] Epoch 0050 | Train 0.000251 | Val 0.000366 | TF 0.8229 | best 0.000357@48
[lr0.001_k1.5_osc25_vh32] Epoch 0051 | Train 0.000247 | Val 0.000360 | TF 0.8193 | best 0.000357@48
[lr0.001_k1.5_osc25_vh32] Epoch 0052 | Train 0.000239 | Val 0.000354 | TF 0.8157 | best 0.000354@52
[lr0.001_k1.5_osc25_vh32] Epoch 0053 | Train 0.000230 | Val 0.000302 | TF 0.8120 | best 0.000302@53
[lr0.001_k1.5_osc25_vh32] Epoch 0054 | Train 0.000216 | Val 0.000316 | TF 0.8084 | best 0.000302@53
[lr0.001_k1.5_osc25_vh32] Epoch 0055 | Train 0.000213 | Val 0.000282 | TF 0.8048 | best 0.000282@55
[lr0.001_k1.5_osc25_vh32] Epoch 0056 | Train 0.000206 | Val 0.000295 | TF 0.8012 | best 0.000282@55
[lr0.001_k1.5_osc25_vh32] Epoch 0057 | Train 0.000203 | Val 0.000280 | TF 0.7976 | best 0.000280@57
[lr0.001_k1.5_osc25_vh32] Epoch 0058 | Train 0.000208 | Val 0.000262 | TF 0.7940 | best 0.000262@58
[lr0.001_k1.5_osc25_vh32] Epoch 0059 | Train 0.000193 | Val 0.000229 | TF 0.7904 | best 0.000229@59
[lr0.001_k1.5_osc25_vh32] Epoch 0060 | Train 0.000185 | Val 0.000248 | TF 0.7867 | best 0.000229@59
