/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k0.5_osc25_vh16] Epoch 0001 | Train 0.150688 | Val 0.126408 | TF 1.0000 | best 0.126408@1
[lr0.0003_k0.5_osc25_vh16] Epoch 0002 | Train 0.113068 | Val 0.093862 | TF 0.9964 | best 0.093862@2
[lr0.0003_k0.5_osc25_vh16] Epoch 0003 | Train 0.083906 | Val 0.069052 | TF 0.9928 | best 0.069052@3
[lr0.0003_k0.5_osc25_vh16] Epoch 0004 | Train 0.061880 | Val 0.050528 | TF 0.9892 | best 0.050528@4
[lr0.0003_k0.5_osc25_vh16] Epoch 0005 | Train 0.045326 | Val 0.036961 | TF 0.9855 | best 0.036961@5
[lr0.0003_k0.5_osc25_vh16] Epoch 0006 | Train 0.033485 | Val 0.027272 | TF 0.9819 | best 0.027272@6
[lr0.0003_k0.5_osc25_vh16] Epoch 0007 | Train 0.025098 | Val 0.020617 | TF 0.9783 | best 0.020617@7
[lr0.0003_k0.5_osc25_vh16] Epoch 0008 | Train 0.019257 | Val 0.016249 | TF 0.9747 | best 0.016249@8
[lr0.0003_k0.5_osc25_vh16] Epoch 0009 | Train 0.015529 | Val 0.013542 | TF 0.9711 | best 0.013542@9
[lr0.0003_k0.5_osc25_vh16] Epoch 0010 | Train 0.013209 | Val 0.011908 | TF 0.9675 | best 0.011908@10
[lr0.0003_k0.5_osc25_vh16] Epoch 0011 | Train 0.011918 | Val 0.011007 | TF 0.9639 | best 0.011007@11
[lr0.0003_k0.5_osc25_vh16] Epoch 0012 | Train 0.011051 | Val 0.010439 | TF 0.9602 | best 0.010439@12
[lr0.0003_k0.5_osc25_vh16] Epoch 0013 | Train 0.010627 | Val 0.010115 | TF 0.9566 | best 0.010115@13
[lr0.0003_k0.5_osc25_vh16] Epoch 0014 | Train 0.010309 | Val 0.009816 | TF 0.9530 | best 0.009816@14
[lr0.0003_k0.5_osc25_vh16] Epoch 0015 | Train 0.010088 | Val 0.009644 | TF 0.9494 | best 0.009644@15
[lr0.0003_k0.5_osc25_vh16] Epoch 0016 | Train 0.009903 | Val 0.009519 | TF 0.9458 | best 0.009519@16
[lr0.0003_k0.5_osc25_vh16] Epoch 0017 | Train 0.009659 | Val 0.009379 | TF 0.9422 | best 0.009379@17
