/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k0.5_osc25_vh32] Epoch 0001 | Train 0.116168 | Val 0.098028 | TF 1.0000 | best 0.098028@1
[lr0.0003_k0.5_osc25_vh32] Epoch 0002 | Train 0.083920 | Val 0.070420 | TF 0.9964 | best 0.070420@2
[lr0.0003_k0.5_osc25_vh32] Epoch 0003 | Train 0.059876 | Val 0.050164 | TF 0.9928 | best 0.050164@3
[lr0.0003_k0.5_osc25_vh32] Epoch 0004 | Train 0.042495 | Val 0.035741 | TF 0.9892 | best 0.035741@4
[lr0.0003_k0.5_osc25_vh32] Epoch 0005 | Train 0.030570 | Val 0.025813 | TF 0.9855 | best 0.025813@5
[lr0.0003_k0.5_osc25_vh32] Epoch 0006 | Train 0.022342 | Val 0.019169 | TF 0.9819 | best 0.019169@6
[lr0.0003_k0.5_osc25_vh32] Epoch 0007 | Train 0.017065 | Val 0.015028 | TF 0.9783 | best 0.015028@7
[lr0.0003_k0.5_osc25_vh32] Epoch 0008 | Train 0.013762 | Val 0.012638 | TF 0.9747 | best 0.012638@8
[lr0.0003_k0.5_osc25_vh32] Epoch 0009 | Train 0.012000 | Val 0.011102 | TF 0.9711 | best 0.011102@9
[lr0.0003_k0.5_osc25_vh32] Epoch 0010 | Train 0.011096 | Val 0.010306 | TF 0.9675 | best 0.010306@10
[lr0.0003_k0.5_osc25_vh32] Epoch 0011 | Train 0.010294 | Val 0.009722 | TF 0.9639 | best 0.009722@11
[lr0.0003_k0.5_osc25_vh32] Epoch 0012 | Train 0.009775 | Val 0.009259 | TF 0.9602 | best 0.009259@12
[lr0.0003_k0.5_osc25_vh32] Epoch 0013 | Train 0.009400 | Val 0.008888 | TF 0.9566 | best 0.008888@13
[lr0.0003_k0.5_osc25_vh32] Epoch 0014 | Train 0.008917 | Val 0.008481 | TF 0.9530 | best 0.008481@14
[lr0.0003_k0.5_osc25_vh32] Epoch 0015 | Train 0.008476 | Val 0.008071 | TF 0.9494 | best 0.008071@15
[lr0.0003_k0.5_osc25_vh32] Epoch 0016 | Train 0.007955 | Val 0.007626 | TF 0.9458 | best 0.007626@16
[lr0.0003_k0.5_osc25_vh32] Epoch 0017 | Train 0.007521 | Val 0.007154 | TF 0.9422 | best 0.007154@17
[lr0.0003_k0.5_osc25_vh32] Epoch 0018 | Train 0.006944 | Val 0.006687 | TF 0.9386 | best 0.006687@18
[lr0.0003_k0.5_osc25_vh32] Epoch 0019 | Train 0.006397 | Val 0.006217 | TF 0.9349 | best 0.006217@19
[lr0.0003_k0.5_osc25_vh32] Epoch 0020 | Train 0.005948 | Val 0.005774 | TF 0.9313 | best 0.005774@20
[lr0.0003_k0.5_osc25_vh32] Epoch 0021 | Train 0.005431 | Val 0.005343 | TF 0.9277 | best 0.005343@21
[lr0.0003_k0.5_osc25_vh32] Epoch 0022 | Train 0.004941 | Val 0.004968 | TF 0.9241 | best 0.004968@22
[lr0.0003_k0.5_osc25_vh32] Epoch 0023 | Train 0.004611 | Val 0.004587 | TF 0.9205 | best 0.004587@23
