/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.001_k0.5_osc50_vh16] Epoch 0001 | Train 0.052155 | Val 0.018449 | TF 1.0000 | best 0.018449@1
[lr0.001_k0.5_osc50_vh16] Epoch 0002 | Train 0.013465 | Val 0.010734 | TF 0.9964 | best 0.010734@2
[lr0.001_k0.5_osc50_vh16] Epoch 0003 | Train 0.010758 | Val 0.009814 | TF 0.9928 | best 0.009814@3
[lr0.001_k0.5_osc50_vh16] Epoch 0004 | Train 0.009870 | Val 0.009365 | TF 0.9892 | best 0.009365@4
[lr0.001_k0.5_osc50_vh16] Epoch 0005 | Train 0.009606 | Val 0.009033 | TF 0.9855 | best 0.009033@5
[lr0.001_k0.5_osc50_vh16] Epoch 0006 | Train 0.009404 | Val 0.008894 | TF 0.9819 | best 0.008894@6
[lr0.001_k0.5_osc50_vh16] Epoch 0007 | Train 0.009079 | Val 0.008578 | TF 0.9783 | best 0.008578@7
[lr0.001_k0.5_osc50_vh16] Epoch 0008 | Train 0.008537 | Val 0.007821 | TF 0.9747 | best 0.007821@8
[lr0.001_k0.5_osc50_vh16] Epoch 0009 | Train 0.007559 | Val 0.007148 | TF 0.9711 | best 0.007148@9
[lr0.001_k0.5_osc50_vh16] Epoch 0010 | Train 0.005857 | Val 0.004777 | TF 0.9675 | best 0.004777@10
[lr0.001_k0.5_osc50_vh16] Epoch 0011 | Train 0.004171 | Val 0.003652 | TF 0.9639 | best 0.003652@11
[lr0.001_k0.5_osc50_vh16] Epoch 0012 | Train 0.003283 | Val 0.002970 | TF 0.9602 | best 0.002970@12
[lr0.001_k0.5_osc50_vh16] Epoch 0013 | Train 0.002708 | Val 0.002455 | TF 0.9566 | best 0.002455@13
[lr0.001_k0.5_osc50_vh16] Epoch 0014 | Train 0.002262 | Val 0.002078 | TF 0.9530 | best 0.002078@14
[lr0.001_k0.5_osc50_vh16] Epoch 0015 | Train 0.001889 | Val 0.001824 | TF 0.9494 | best 0.001824@15
[lr0.001_k0.5_osc50_vh16] Epoch 0016 | Train 0.001685 | Val 0.001702 | TF 0.9458 | best 0.001702@16
[lr0.001_k0.5_osc50_vh16] Epoch 0017 | Train 0.001516 | Val 0.001597 | TF 0.9422 | best 0.001597@17
[lr0.001_k0.5_osc50_vh16] Epoch 0018 | Train 0.001416 | Val 0.001503 | TF 0.9386 | best 0.001503@18
[lr0.001_k0.5_osc50_vh16] Epoch 0019 | Train 0.001295 | Val 0.001508 | TF 0.9349 | best 0.001503@18
[lr0.001_k0.5_osc50_vh16] Epoch 0020 | Train 0.001242 | Val 0.001496 | TF 0.9313 | best 0.001496@20
[lr0.001_k0.5_osc50_vh16] Epoch 0021 | Train 0.001170 | Val 0.001467 | TF 0.9277 | best 0.001467@21
[lr0.001_k0.5_osc50_vh16] Epoch 0022 | Train 0.001105 | Val 0.001165 | TF 0.9241 | best 0.001165@22
[lr0.001_k0.5_osc50_vh16] Epoch 0023 | Train 0.001066 | Val 0.001169 | TF 0.9205 | best 0.001165@22
[lr0.001_k0.5_osc50_vh16] Epoch 0024 | Train 0.001018 | Val 0.001209 | TF 0.9169 | best 0.001165@22
[lr0.001_k0.5_osc50_vh16] Epoch 0025 | Train 0.001030 | Val 0.001128 | TF 0.9133 | best 0.001128@25
[lr0.001_k0.5_osc50_vh16] Epoch 0026 | Train 0.000975 | Val 0.001077 | TF 0.9096 | best 0.001077@26
[lr0.001_k0.5_osc50_vh16] Epoch 0027 | Train 0.000916 | Val 0.001107 | TF 0.9060 | best 0.001077@26
[lr0.001_k0.5_osc50_vh16] Epoch 0028 | Train 0.000882 | Val 0.001061 | TF 0.9024 | best 0.001061@28
[lr0.001_k0.5_osc50_vh16] Epoch 0029 | Train 0.000869 | Val 0.001092 | TF 0.8988 | best 0.001061@28
[lr0.001_k0.5_osc50_vh16] Epoch 0030 | Train 0.000853 | Val 0.001066 | TF 0.8952 | best 0.001061@28
[lr0.001_k0.5_osc50_vh16] Epoch 0031 | Train 0.000864 | Val 0.000963 | TF 0.8916 | best 0.000963@31
[lr0.001_k0.5_osc50_vh16] Epoch 0032 | Train 0.000846 | Val 0.001077 | TF 0.8880 | best 0.000963@31
[lr0.001_k0.5_osc50_vh16] Epoch 0033 | Train 0.000796 | Val 0.000969 | TF 0.8843 | best 0.000963@31
[lr0.001_k0.5_osc50_vh16] Epoch 0034 | Train 0.000815 | Val 0.001055 | TF 0.8807 | best 0.000963@31
[lr0.001_k0.5_osc50_vh16] Epoch 0035 | Train 0.000774 | Val 0.000934 | TF 0.8771 | best 0.000934@35
[lr0.001_k0.5_osc50_vh16] Epoch 0036 | Train 0.000766 | Val 0.000993 | TF 0.8735 | best 0.000934@35
[lr0.001_k0.5_osc50_vh16] Epoch 0037 | Train 0.000739 | Val 0.001060 | TF 0.8699 | best 0.000934@35
[lr0.001_k0.5_osc50_vh16] Epoch 0038 | Train 0.000756 | Val 0.000861 | TF 0.8663 | best 0.000861@38
[lr0.001_k0.5_osc50_vh16] Epoch 0039 | Train 0.000735 | Val 0.000903 | TF 0.8627 | best 0.000861@38
[lr0.001_k0.5_osc50_vh16] Epoch 0040 | Train 0.000708 | Val 0.000855 | TF 0.8590 | best 0.000855@40
[lr0.001_k0.5_osc50_vh16] Epoch 0041 | Train 0.000718 | Val 0.000799 | TF 0.8554 | best 0.000799@41
[lr0.001_k0.5_osc50_vh16] Epoch 0042 | Train 0.000700 | Val 0.000842 | TF 0.8518 | best 0.000799@41
[lr0.001_k0.5_osc50_vh16] Epoch 0043 | Train 0.000677 | Val 0.000823 | TF 0.8482 | best 0.000799@41
[lr0.001_k0.5_osc50_vh16] Epoch 0044 | Train 0.000672 | Val 0.000795 | TF 0.8446 | best 0.000795@44
[lr0.001_k0.5_osc50_vh16] Epoch 0045 | Train 0.000667 | Val 0.000780 | TF 0.8410 | best 0.000780@45
[lr0.001_k0.5_osc50_vh16] Epoch 0046 | Train 0.000660 | Val 0.000824 | TF 0.8373 | best 0.000780@45
[lr0.001_k0.5_osc50_vh16] Epoch 0047 | Train 0.000650 | Val 0.000900 | TF 0.8337 | best 0.000780@45
[lr0.001_k0.5_osc50_vh16] Epoch 0048 | Train 0.000634 | Val 0.000816 | TF 0.8301 | best 0.000780@45
[lr0.001_k0.5_osc50_vh16] Epoch 0049 | Train 0.000633 | Val 0.000769 | TF 0.8265 | best 0.000769@49
[lr0.001_k0.5_osc50_vh16] Epoch 0050 | Train 0.000615 | Val 0.000750 | TF 0.8229 | best 0.000750@50
[lr0.001_k0.5_osc50_vh16] Epoch 0051 | Train 0.000615 | Val 0.000892 | TF 0.8193 | best 0.000750@50
[lr0.001_k0.5_osc50_vh16] Epoch 0052 | Train 0.000613 | Val 0.000794 | TF 0.8157 | best 0.000750@50
