/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k1.5_osc50_vh16] Epoch 0001 | Train 0.084058 | Val 0.063622 | TF 1.0000 | best 0.063622@1
[lr0.0003_k1.5_osc50_vh16] Epoch 0002 | Train 0.046320 | Val 0.035754 | TF 0.9964 | best 0.035754@2
[lr0.0003_k1.5_osc50_vh16] Epoch 0003 | Train 0.027053 | Val 0.021738 | TF 0.9928 | best 0.021738@3
[lr0.0003_k1.5_osc50_vh16] Epoch 0004 | Train 0.017489 | Val 0.015027 | TF 0.9892 | best 0.015027@4
[lr0.0003_k1.5_osc50_vh16] Epoch 0005 | Train 0.013201 | Val 0.011888 | TF 0.9855 | best 0.011888@5
[lr0.0003_k1.5_osc50_vh16] Epoch 0006 | Train 0.011207 | Val 0.010546 | TF 0.9819 | best 0.010546@6
[lr0.0003_k1.5_osc50_vh16] Epoch 0007 | Train 0.010374 | Val 0.009869 | TF 0.9783 | best 0.009869@7
[lr0.0003_k1.5_osc50_vh16] Epoch 0008 | Train 0.009989 | Val 0.009607 | TF 0.9747 | best 0.009607@8
[lr0.0003_k1.5_osc50_vh16] Epoch 0009 | Train 0.009836 | Val 0.009329 | TF 0.9711 | best 0.009329@9
[lr0.0003_k1.5_osc50_vh16] Epoch 0010 | Train 0.009566 | Val 0.009310 | TF 0.9675 | best 0.009310@10
[lr0.0003_k1.5_osc50_vh16] Epoch 0011 | Train 0.009594 | Val 0.009188 | TF 0.9639 | best 0.009188@11
[lr0.0003_k1.5_osc50_vh16] Epoch 0012 | Train 0.009350 | Val 0.009068 | TF 0.9602 | best 0.009068@12
[lr0.0003_k1.5_osc50_vh16] Epoch 0013 | Train 0.009300 | Val 0.008906 | TF 0.9566 | best 0.008906@13
[lr0.0003_k1.5_osc50_vh16] Epoch 0014 | Train 0.009191 | Val 0.008964 | TF 0.9530 | best 0.008906@13
[lr0.0003_k1.5_osc50_vh16] Epoch 0015 | Train 0.009247 | Val 0.008942 | TF 0.9494 | best 0.008906@13
[lr0.0003_k1.5_osc50_vh16] Epoch 0016 | Train 0.009152 | Val 0.008804 | TF 0.9458 | best 0.008804@16
[lr0.0003_k1.5_osc50_vh16] Epoch 0017 | Train 0.008976 | Val 0.008732 | TF 0.9422 | best 0.008732@17
[lr0.0003_k1.5_osc50_vh16] Epoch 0018 | Train 0.009014 | Val 0.008565 | TF 0.9386 | best 0.008565@18
[lr0.0003_k1.5_osc50_vh16] Epoch 0019 | Train 0.008892 | Val 0.008483 | TF 0.9349 | best 0.008483@19
[lr0.0003_k1.5_osc50_vh16] Epoch 0020 | Train 0.008691 | Val 0.008255 | TF 0.9313 | best 0.008255@20
[lr0.0003_k1.5_osc50_vh16] Epoch 0021 | Train 0.008512 | Val 0.008136 | TF 0.9277 | best 0.008136@21
[lr0.0003_k1.5_osc50_vh16] Epoch 0022 | Train 0.008265 | Val 0.007889 | TF 0.9241 | best 0.007889@22
[lr0.0003_k1.5_osc50_vh16] Epoch 0023 | Train 0.008038 | Val 0.007693 | TF 0.9205 | best 0.007693@23
[lr0.0003_k1.5_osc50_vh16] Epoch 0024 | Train 0.007829 | Val 0.007384 | TF 0.9169 | best 0.007384@24
[lr0.0003_k1.5_osc50_vh16] Epoch 0025 | Train 0.007476 | Val 0.007001 | TF 0.9133 | best 0.007001@25
[lr0.0003_k1.5_osc50_vh16] Epoch 0026 | Train 0.007000 | Val 0.006521 | TF 0.9096 | best 0.006521@26
[lr0.0003_k1.5_osc50_vh16] Epoch 0027 | Train 0.006559 | Val 0.006100 | TF 0.9060 | best 0.006100@27
[lr0.0003_k1.5_osc50_vh16] Epoch 0028 | Train 0.006050 | Val 0.005587 | TF 0.9024 | best 0.005587@28
[lr0.0003_k1.5_osc50_vh16] Epoch 0029 | Train 0.005494 | Val 0.005118 | TF 0.8988 | best 0.005118@29
[lr0.0003_k1.5_osc50_vh16] Epoch 0030 | Train 0.005014 | Val 0.004724 | TF 0.8952 | best 0.004724@30
[lr0.0003_k1.5_osc50_vh16] Epoch 0031 | Train 0.004609 | Val 0.004348 | TF 0.8916 | best 0.004348@31
[lr0.0003_k1.5_osc50_vh16] Epoch 0032 | Train 0.004333 | Val 0.004068 | TF 0.8880 | best 0.004068@32
[lr0.0003_k1.5_osc50_vh16] Epoch 0033 | Train 0.003968 | Val 0.003855 | TF 0.8843 | best 0.003855@33
[lr0.0003_k1.5_osc50_vh16] Epoch 0034 | Train 0.003820 | Val 0.003656 | TF 0.8807 | best 0.003656@34
[lr0.0003_k1.5_osc50_vh16] Epoch 0035 | Train 0.003543 | Val 0.003489 | TF 0.8771 | best 0.003489@35
[lr0.0003_k1.5_osc50_vh16] Epoch 0036 | Train 0.003425 | Val 0.003349 | TF 0.8735 | best 0.003349@36
[lr0.0003_k1.5_osc50_vh16] Epoch 0037 | Train 0.003262 | Val 0.003169 | TF 0.8699 | best 0.003169@37
[lr0.0003_k1.5_osc50_vh16] Epoch 0038 | Train 0.003164 | Val 0.003035 | TF 0.8663 | best 0.003035@38
[lr0.0003_k1.5_osc50_vh16] Epoch 0039 | Train 0.002985 | Val 0.002913 | TF 0.8627 | best 0.002913@39
[lr0.0003_k1.5_osc50_vh16] Epoch 0040 | Train 0.002823 | Val 0.002747 | TF 0.8590 | best 0.002747@40
[lr0.0003_k1.5_osc50_vh16] Epoch 0041 | Train 0.002802 | Val 0.002670 | TF 0.8554 | best 0.002670@41
[lr0.0003_k1.5_osc50_vh16] Epoch 0042 | Train 0.002637 | Val 0.002562 | TF 0.8518 | best 0.002562@42
[lr0.0003_k1.5_osc50_vh16] Epoch 0043 | Train 0.002516 | Val 0.002442 | TF 0.8482 | best 0.002442@43
[lr0.0003_k1.5_osc50_vh16] Epoch 0044 | Train 0.002392 | Val 0.002349 | TF 0.8446 | best 0.002349@44
[lr0.0003_k1.5_osc50_vh16] Epoch 0045 | Train 0.002302 | Val 0.002286 | TF 0.8410 | best 0.002286@45
[lr0.0003_k1.5_osc50_vh16] Epoch 0046 | Train 0.002181 | Val 0.002166 | TF 0.8373 | best 0.002166@46
[lr0.0003_k1.5_osc50_vh16] Epoch 0047 | Train 0.002100 | Val 0.002138 | TF 0.8337 | best 0.002138@47
