/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k0.5_osc50_vh16] Epoch 0001 | Train 0.084882 | Val 0.064353 | TF 1.0000 | best 0.064353@1
[lr0.0003_k0.5_osc50_vh16] Epoch 0002 | Train 0.046928 | Val 0.036281 | TF 0.9964 | best 0.036281@2
[lr0.0003_k0.5_osc50_vh16] Epoch 0003 | Train 0.027435 | Val 0.021963 | TF 0.9928 | best 0.021963@3
[lr0.0003_k0.5_osc50_vh16] Epoch 0004 | Train 0.017597 | Val 0.015049 | TF 0.9892 | best 0.015049@4
[lr0.0003_k0.5_osc50_vh16] Epoch 0005 | Train 0.013217 | Val 0.011912 | TF 0.9855 | best 0.011912@5
[lr0.0003_k0.5_osc50_vh16] Epoch 0006 | Train 0.011269 | Val 0.010621 | TF 0.9819 | best 0.010621@6
[lr0.0003_k0.5_osc50_vh16] Epoch 0007 | Train 0.010468 | Val 0.009959 | TF 0.9783 | best 0.009959@7
[lr0.0003_k0.5_osc50_vh16] Epoch 0008 | Train 0.010078 | Val 0.009692 | TF 0.9747 | best 0.009692@8
[lr0.0003_k0.5_osc50_vh16] Epoch 0009 | Train 0.009906 | Val 0.009401 | TF 0.9711 | best 0.009401@9
[lr0.0003_k0.5_osc50_vh16] Epoch 0010 | Train 0.009620 | Val 0.009365 | TF 0.9675 | best 0.009365@10
[lr0.0003_k0.5_osc50_vh16] Epoch 0011 | Train 0.009639 | Val 0.009244 | TF 0.9639 | best 0.009244@11
[lr0.0003_k0.5_osc50_vh16] Epoch 0012 | Train 0.009406 | Val 0.009149 | TF 0.9602 | best 0.009149@12
[lr0.0003_k0.5_osc50_vh16] Epoch 0013 | Train 0.009381 | Val 0.009005 | TF 0.9566 | best 0.009005@13
