/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.001_k1.5_osc25_vh16] Epoch 0001 | Train 0.114276 | Val 0.061203 | TF 1.0000 | best 0.061203@1
[lr0.001_k1.5_osc25_vh16] Epoch 0002 | Train 0.039874 | Val 0.020778 | TF 0.9964 | best 0.020778@2
[lr0.001_k1.5_osc25_vh16] Epoch 0003 | Train 0.016116 | Val 0.012234 | TF 0.9928 | best 0.012234@3
[lr0.001_k1.5_osc25_vh16] Epoch 0004 | Train 0.011737 | Val 0.010655 | TF 0.9892 | best 0.010655@4
[lr0.001_k1.5_osc25_vh16] Epoch 0005 | Train 0.010540 | Val 0.009775 | TF 0.9855 | best 0.009775@5
[lr0.001_k1.5_osc25_vh16] Epoch 0006 | Train 0.009931 | Val 0.009327 | TF 0.9819 | best 0.009327@6
[lr0.001_k1.5_osc25_vh16] Epoch 0007 | Train 0.009646 | Val 0.009243 | TF 0.9783 | best 0.009243@7
[lr0.001_k1.5_osc25_vh16] Epoch 0008 | Train 0.009403 | Val 0.008985 | TF 0.9747 | best 0.008985@8
[lr0.001_k1.5_osc25_vh16] Epoch 0009 | Train 0.009271 | Val 0.008860 | TF 0.9711 | best 0.008860@9
[lr0.001_k1.5_osc25_vh16] Epoch 0010 | Train 0.009021 | Val 0.008501 | TF 0.9675 | best 0.008501@10
[lr0.001_k1.5_osc25_vh16] Epoch 0011 | Train 0.008609 | Val 0.008051 | TF 0.9639 | best 0.008051@11
[lr0.001_k1.5_osc25_vh16] Epoch 0012 | Train 0.007793 | Val 0.007136 | TF 0.9602 | best 0.007136@12
[lr0.001_k1.5_osc25_vh16] Epoch 0013 | Train 0.006750 | Val 0.006020 | TF 0.9566 | best 0.006020@13
[lr0.001_k1.5_osc25_vh16] Epoch 0014 | Train 0.005605 | Val 0.004853 | TF 0.9530 | best 0.004853@14
[lr0.001_k1.5_osc25_vh16] Epoch 0015 | Train 0.004541 | Val 0.004003 | TF 0.9494 | best 0.004003@15
[lr0.001_k1.5_osc25_vh16] Epoch 0016 | Train 0.003757 | Val 0.003369 | TF 0.9458 | best 0.003369@16
[lr0.001_k1.5_osc25_vh16] Epoch 0017 | Train 0.003135 | Val 0.002875 | TF 0.9422 | best 0.002875@17
[lr0.001_k1.5_osc25_vh16] Epoch 0018 | Train 0.002692 | Val 0.002663 | TF 0.9386 | best 0.002663@18
[lr0.001_k1.5_osc25_vh16] Epoch 0019 | Train 0.002403 | Val 0.002466 | TF 0.9349 | best 0.002466@19
[lr0.001_k1.5_osc25_vh16] Epoch 0020 | Train 0.002168 | Val 0.002267 | TF 0.9313 | best 0.002267@20
[lr0.001_k1.5_osc25_vh16] Epoch 0021 | Train 0.001955 | Val 0.002003 | TF 0.9277 | best 0.002003@21
[lr0.001_k1.5_osc25_vh16] Epoch 0022 | Train 0.001815 | Val 0.001780 | TF 0.9241 | best 0.001780@22
[lr0.001_k1.5_osc25_vh16] Epoch 0023 | Train 0.001690 | Val 0.001676 | TF 0.9205 | best 0.001676@23
[lr0.001_k1.5_osc25_vh16] Epoch 0024 | Train 0.001631 | Val 0.001688 | TF 0.9169 | best 0.001676@23
[lr0.001_k1.5_osc25_vh16] Epoch 0025 | Train 0.001501 | Val 0.001607 | TF 0.9133 | best 0.001607@25
[lr0.001_k1.5_osc25_vh16] Epoch 0026 | Train 0.001427 | Val 0.001529 | TF 0.9096 | best 0.001529@26
[lr0.001_k1.5_osc25_vh16] Epoch 0027 | Train 0.001349 | Val 0.001458 | TF 0.9060 | best 0.001458@27
[lr0.001_k1.5_osc25_vh16] Epoch 0028 | Train 0.001258 | Val 0.001323 | TF 0.9024 | best 0.001323@28
[lr0.001_k1.5_osc25_vh16] Epoch 0029 | Train 0.001211 | Val 0.001328 | TF 0.8988 | best 0.001323@28
[lr0.001_k1.5_osc25_vh16] Epoch 0030 | Train 0.001168 | Val 0.001300 | TF 0.8952 | best 0.001300@30
[lr0.001_k1.5_osc25_vh16] Epoch 0031 | Train 0.001134 | Val 0.001206 | TF 0.8916 | best 0.001206@31
[lr0.001_k1.5_osc25_vh16] Epoch 0032 | Train 0.001097 | Val 0.001242 | TF 0.8880 | best 0.001206@31
[lr0.001_k1.5_osc25_vh16] Epoch 0033 | Train 0.001070 | Val 0.001168 | TF 0.8843 | best 0.001168@33
