/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k1.5_osc25_vh32] Epoch 0001 | Train 0.116405 | Val 0.098250 | TF 1.0000 | best 0.098250@1
[lr0.0003_k1.5_osc25_vh32] Epoch 0002 | Train 0.084113 | Val 0.070660 | TF 0.9964 | best 0.070660@2
[lr0.0003_k1.5_osc25_vh32] Epoch 0003 | Train 0.060080 | Val 0.050451 | TF 0.9928 | best 0.050451@3
[lr0.0003_k1.5_osc25_vh32] Epoch 0004 | Train 0.042747 | Val 0.036057 | TF 0.9892 | best 0.036057@4
[lr0.0003_k1.5_osc25_vh32] Epoch 0005 | Train 0.030818 | Val 0.026040 | TF 0.9855 | best 0.026040@5
[lr0.0003_k1.5_osc25_vh32] Epoch 0006 | Train 0.022503 | Val 0.019301 | TF 0.9819 | best 0.019301@6
[lr0.0003_k1.5_osc25_vh32] Epoch 0007 | Train 0.017154 | Val 0.015084 | TF 0.9783 | best 0.015084@7
[lr0.0003_k1.5_osc25_vh32] Epoch 0008 | Train 0.013783 | Val 0.012628 | TF 0.9747 | best 0.012628@8
[lr0.0003_k1.5_osc25_vh32] Epoch 0009 | Train 0.011989 | Val 0.011092 | TF 0.9711 | best 0.011092@9
[lr0.0003_k1.5_osc25_vh32] Epoch 0010 | Train 0.011095 | Val 0.010284 | TF 0.9675 | best 0.010284@10
[lr0.0003_k1.5_osc25_vh32] Epoch 0011 | Train 0.010268 | Val 0.009662 | TF 0.9639 | best 0.009662@11
[lr0.0003_k1.5_osc25_vh32] Epoch 0012 | Train 0.009725 | Val 0.009181 | TF 0.9602 | best 0.009181@12
[lr0.0003_k1.5_osc25_vh32] Epoch 0013 | Train 0.009321 | Val 0.008788 | TF 0.9566 | best 0.008788@13
[lr0.0003_k1.5_osc25_vh32] Epoch 0014 | Train 0.008811 | Val 0.008353 | TF 0.9530 | best 0.008353@14
[lr0.0003_k1.5_osc25_vh32] Epoch 0015 | Train 0.008334 | Val 0.007901 | TF 0.9494 | best 0.007901@15
[lr0.0003_k1.5_osc25_vh32] Epoch 0016 | Train 0.007752 | Val 0.007378 | TF 0.9458 | best 0.007378@16
[lr0.0003_k1.5_osc25_vh32] Epoch 0017 | Train 0.007217 | Val 0.006831 | TF 0.9422 | best 0.006831@17
[lr0.0003_k1.5_osc25_vh32] Epoch 0018 | Train 0.006561 | Val 0.006320 | TF 0.9386 | best 0.006320@18
[lr0.0003_k1.5_osc25_vh32] Epoch 0019 | Train 0.006013 | Val 0.005877 | TF 0.9349 | best 0.005877@19
[lr0.0003_k1.5_osc25_vh32] Epoch 0020 | Train 0.005603 | Val 0.005451 | TF 0.9313 | best 0.005451@20
[lr0.0003_k1.5_osc25_vh32] Epoch 0021 | Train 0.005149 | Val 0.005045 | TF 0.9277 | best 0.005045@21
[lr0.0003_k1.5_osc25_vh32] Epoch 0022 | Train 0.004711 | Val 0.004702 | TF 0.9241 | best 0.004702@22
[lr0.0003_k1.5_osc25_vh32] Epoch 0023 | Train 0.004427 | Val 0.004370 | TF 0.9205 | best 0.004370@23
[lr0.0003_k1.5_osc25_vh32] Epoch 0024 | Train 0.004090 | Val 0.004098 | TF 0.9169 | best 0.004098@24
[lr0.0003_k1.5_osc25_vh32] Epoch 0025 | Train 0.003858 | Val 0.003865 | TF 0.9133 | best 0.003865@25
[lr0.0003_k1.5_osc25_vh32] Epoch 0026 | Train 0.003595 | Val 0.003630 | TF 0.9096 | best 0.003630@26
[lr0.0003_k1.5_osc25_vh32] Epoch 0027 | Train 0.003415 | Val 0.003453 | TF 0.9060 | best 0.003453@27
[lr0.0003_k1.5_osc25_vh32] Epoch 0028 | Train 0.003236 | Val 0.003262 | TF 0.9024 | best 0.003262@28
[lr0.0003_k1.5_osc25_vh32] Epoch 0029 | Train 0.003094 | Val 0.003126 | TF 0.8988 | best 0.003126@29
[lr0.0003_k1.5_osc25_vh32] Epoch 0030 | Train 0.002942 | Val 0.002965 | TF 0.8952 | best 0.002965@30
[lr0.0003_k1.5_osc25_vh32] Epoch 0031 | Train 0.002780 | Val 0.002848 | TF 0.8916 | best 0.002848@31
[lr0.0003_k1.5_osc25_vh32] Epoch 0032 | Train 0.002656 | Val 0.002705 | TF 0.8880 | best 0.002705@32
[lr0.0003_k1.5_osc25_vh32] Epoch 0033 | Train 0.002492 | Val 0.002588 | TF 0.8843 | best 0.002588@33
[lr0.0003_k1.5_osc25_vh32] Epoch 0034 | Train 0.002430 | Val 0.002487 | TF 0.8807 | best 0.002487@34
[lr0.0003_k1.5_osc25_vh32] Epoch 0035 | Train 0.002367 | Val 0.002402 | TF 0.8771 | best 0.002402@35
[lr0.0003_k1.5_osc25_vh32] Epoch 0036 | Train 0.002216 | Val 0.002345 | TF 0.8735 | best 0.002345@36
[lr0.0003_k1.5_osc25_vh32] Epoch 0037 | Train 0.002141 | Val 0.002322 | TF 0.8699 | best 0.002322@37
[lr0.0003_k1.5_osc25_vh32] Epoch 0038 | Train 0.002042 | Val 0.002190 | TF 0.8663 | best 0.002190@38
[lr0.0003_k1.5_osc25_vh32] Epoch 0039 | Train 0.001982 | Val 0.002120 | TF 0.8627 | best 0.002120@39
[lr0.0003_k1.5_osc25_vh32] Epoch 0040 | Train 0.001927 | Val 0.002010 | TF 0.8590 | best 0.002010@40
[lr0.0003_k1.5_osc25_vh32] Epoch 0041 | Train 0.001866 | Val 0.001961 | TF 0.8554 | best 0.001961@41
[lr0.0003_k1.5_osc25_vh32] Epoch 0042 | Train 0.001872 | Val 0.001968 | TF 0.8518 | best 0.001961@41
[lr0.0003_k1.5_osc25_vh32] Epoch 0043 | Train 0.001781 | Val 0.001874 | TF 0.8482 | best 0.001874@43
[lr0.0003_k1.5_osc25_vh32] Epoch 0044 | Train 0.001704 | Val 0.001855 | TF 0.8446 | best 0.001855@44
[lr0.0003_k1.5_osc25_vh32] Epoch 0045 | Train 0.001673 | Val 0.001800 | TF 0.8410 | best 0.001800@45
[lr0.0003_k1.5_osc25_vh32] Epoch 0046 | Train 0.001610 | Val 0.001715 | TF 0.8373 | best 0.001715@46
[lr0.0003_k1.5_osc25_vh32] Epoch 0047 | Train 0.001609 | Val 0.001717 | TF 0.8337 | best 0.001715@46
[lr0.0003_k1.5_osc25_vh32] Epoch 0048 | Train 0.001562 | Val 0.001714 | TF 0.8301 | best 0.001714@48
[lr0.0003_k1.5_osc25_vh32] Epoch 0049 | Train 0.001498 | Val 0.001635 | TF 0.8265 | best 0.001635@49
[lr0.0003_k1.5_osc25_vh32] Epoch 0050 | Train 0.001464 | Val 0.001609 | TF 0.8229 | best 0.001609@50
[lr0.0003_k1.5_osc25_vh32] Epoch 0051 | Train 0.001427 | Val 0.001533 | TF 0.8193 | best 0.001533@51
[lr0.0003_k1.5_osc25_vh32] Epoch 0052 | Train 0.001394 | Val 0.001570 | TF 0.8157 | best 0.001533@51
[lr0.0003_k1.5_osc25_vh32] Epoch 0053 | Train 0.001374 | Val 0.001552 | TF 0.8120 | best 0.001533@51
[lr0.0003_k1.5_osc25_vh32] Epoch 0054 | Train 0.001326 | Val 0.001483 | TF 0.8084 | best 0.001483@54
[lr0.0003_k1.5_osc25_vh32] Epoch 0055 | Train 0.001312 | Val 0.001447 | TF 0.8048 | best 0.001447@55
[lr0.0003_k1.5_osc25_vh32] Epoch 0056 | Train 0.001284 | Val 0.001374 | TF 0.8012 | best 0.001374@56
[lr0.0003_k1.5_osc25_vh32] Epoch 0057 | Train 0.001293 | Val 0.001345 | TF 0.7976 | best 0.001345@57
[lr0.0003_k1.5_osc25_vh32] Epoch 0058 | Train 0.001235 | Val 0.001412 | TF 0.7940 | best 0.001345@57
[lr0.0003_k1.5_osc25_vh32] Epoch 0059 | Train 0.001235 | Val 0.001339 | TF 0.7904 | best 0.001339@59
[lr0.0003_k1.5_osc25_vh32] Epoch 0060 | Train 0.001211 | Val 0.001313 | TF 0.7867 | best 0.001313@60
[lr0.0003_k1.5_osc25_vh32] Epoch 0061 | Train 0.001198 | Val 0.001291 | TF 0.7831 | best 0.001291@61
[lr0.0003_k1.5_osc25_vh32] Epoch 0062 | Train 0.001169 | Val 0.001301 | TF 0.7795 | best 0.001291@61
[lr0.0003_k1.5_osc25_vh32] Epoch 0063 | Train 0.001131 | Val 0.001261 | TF 0.7759 | best 0.001261@63
[lr0.0003_k1.5_osc25_vh32] Epoch 0064 | Train 0.001125 | Val 0.001268 | TF 0.7723 | best 0.001261@63
[lr0.0003_k1.5_osc25_vh32] Epoch 0065 | Train 0.001107 | Val 0.001292 | TF 0.7687 | best 0.001261@63
[lr0.0003_k1.5_osc25_vh32] Epoch 0066 | Train 0.001103 | Val 0.001259 | TF 0.7651 | best 0.001259@66
[lr0.0003_k1.5_osc25_vh32] Epoch 0067 | Train 0.001099 | Val 0.001174 | TF 0.7614 | best 0.001174@67
[lr0.0003_k1.5_osc25_vh32] Epoch 0068 | Train 0.001064 | Val 0.001176 | TF 0.7578 | best 0.001174@67
[lr0.0003_k1.5_osc25_vh32] Epoch 0069 | Train 0.001027 | Val 0.001186 | TF 0.7542 | best 0.001174@67
[lr0.0003_k1.5_osc25_vh32] Epoch 0070 | Train 0.001014 | Val 0.001294 | TF 0.7506 | best 0.001174@67
[lr0.0003_k1.5_osc25_vh32] Epoch 0071 | Train 0.001034 | Val 0.001184 | TF 0.7470 | best 0.001174@67
[lr0.0003_k1.5_osc25_vh32] Epoch 0072 | Train 0.000997 | Val 0.001159 | TF 0.7434 | best 0.001159@72
[lr0.0003_k1.5_osc25_vh32] Epoch 0073 | Train 0.000982 | Val 0.001088 | TF 0.7398 | best 0.001088@73
[lr0.0003_k1.5_osc25_vh32] Epoch 0074 | Train 0.000971 | Val 0.001089 | TF 0.7361 | best 0.001088@73
[lr0.0003_k1.5_osc25_vh32] Epoch 0075 | Train 0.000967 | Val 0.001044 | TF 0.7325 | best 0.001044@75
[lr0.0003_k1.5_osc25_vh32] Epoch 0076 | Train 0.000957 | Val 0.001037 | TF 0.7289 | best 0.001037@76
[lr0.0003_k1.5_osc25_vh32] Epoch 0077 | Train 0.000940 | Val 0.001068 | TF 0.7253 | best 0.001037@76
[lr0.0003_k1.5_osc25_vh32] Epoch 0078 | Train 0.000893 | Val 0.001037 | TF 0.7217 | best 0.001037@76
[lr0.0003_k1.5_osc25_vh32] Epoch 0079 | Train 0.000928 | Val 0.001047 | TF 0.7181 | best 0.001037@76
[lr0.0003_k1.5_osc25_vh32] Epoch 0080 | Train 0.000877 | Val 0.000994 | TF 0.7145 | best 0.000994@80
[lr0.0003_k1.5_osc25_vh32] Epoch 0081 | Train 0.000870 | Val 0.000989 | TF 0.7108 | best 0.000989@81
[lr0.0003_k1.5_osc25_vh32] Epoch 0082 | Train 0.000853 | Val 0.001018 | TF 0.7072 | best 0.000989@81
[lr0.0003_k1.5_osc25_vh32] Epoch 0083 | Train 0.000847 | Val 0.000975 | TF 0.7036 | best 0.000975@83
[lr0.0003_k1.5_osc25_vh32] Epoch 0084 | Train 0.000842 | Val 0.000986 | TF 0.7000 | best 0.000975@83
[lr0.0003_k1.5_osc25_vh32] Epoch 0085 | Train 0.000833 | Val 0.000971 | TF 0.6964 | best 0.000971@85
[lr0.0003_k1.5_osc25_vh32] Epoch 0086 | Train 0.000819 | Val 0.000906 | TF 0.6928 | best 0.000906@86
[lr0.0003_k1.5_osc25_vh32] Epoch 0087 | Train 0.000818 | Val 0.000910 | TF 0.6892 | best 0.000906@86
[lr0.0003_k1.5_osc25_vh32] Epoch 0088 | Train 0.000797 | Val 0.000903 | TF 0.6855 | best 0.000903@88
[lr0.0003_k1.5_osc25_vh32] Epoch 0089 | Train 0.000788 | Val 0.000912 | TF 0.6819 | best 0.000903@88
[lr0.0003_k1.5_osc25_vh32] Epoch 0090 | Train 0.000790 | Val 0.000849 | TF 0.6783 | best 0.000849@90
[lr0.0003_k1.5_osc25_vh32] Epoch 0091 | Train 0.000772 | Val 0.000837 | TF 0.6747 | best 0.000837@91
[lr0.0003_k1.5_osc25_vh32] Epoch 0092 | Train 0.000770 | Val 0.000851 | TF 0.6711 | best 0.000837@91
[lr0.0003_k1.5_osc25_vh32] Epoch 0093 | Train 0.000744 | Val 0.000838 | TF 0.6675 | best 0.000837@91
[lr0.0003_k1.5_osc25_vh32] Epoch 0094 | Train 0.000725 | Val 0.000823 | TF 0.6639 | best 0.000823@94
[lr0.0003_k1.5_osc25_vh32] Epoch 0095 | Train 0.000721 | Val 0.000828 | TF 0.6602 | best 0.000823@94
[lr0.0003_k1.5_osc25_vh32] Epoch 0096 | Train 0.000710 | Val 0.000819 | TF 0.6566 | best 0.000819@96
[lr0.0003_k1.5_osc25_vh32] Epoch 0097 | Train 0.000689 | Val 0.000847 | TF 0.6530 | best 0.000819@96
[lr0.0003_k1.5_osc25_vh32] Epoch 0098 | Train 0.000693 | Val 0.000793 | TF 0.6494 | best 0.000793@98
[lr0.0003_k1.5_osc25_vh32] Epoch 0099 | Train 0.000696 | Val 0.000768 | TF 0.6458 | best 0.000768@99
[lr0.0003_k1.5_osc25_vh32] Epoch 0100 | Train 0.000656 | Val 0.000834 | TF 0.6422 | best 0.000768@99
[lr0.0003_k1.5_osc25_vh32] Epoch 0101 | Train 0.000661 | Val 0.000804 | TF 0.6386 | best 0.000768@99
[lr0.0003_k1.5_osc25_vh32] Epoch 0102 | Train 0.000647 | Val 0.000799 | TF 0.6349 | best 0.000768@99
[lr0.0003_k1.5_osc25_vh32] Epoch 0103 | Train 0.000645 | Val 0.000818 | TF 0.6313 | best 0.000768@99
[lr0.0003_k1.5_osc25_vh32] Epoch 0104 | Train 0.000649 | Val 0.000736 | TF 0.6277 | best 0.000736@104
[lr0.0003_k1.5_osc25_vh32] Epoch 0105 | Train 0.000619 | Val 0.000761 | TF 0.6241 | best 0.000736@104
[lr0.0003_k1.5_osc25_vh32] Epoch 0106 | Train 0.000611 | Val 0.000799 | TF 0.6205 | best 0.000736@104
[lr0.0003_k1.5_osc25_vh32] Epoch 0107 | Train 0.000599 | Val 0.000798 | TF 0.6169 | best 0.000736@104
[lr0.0003_k1.5_osc25_vh32] Epoch 0108 | Train 0.000587 | Val 0.000760 | TF 0.6133 | best 0.000736@104
[lr0.0003_k1.5_osc25_vh32] Epoch 0109 | Train 0.000567 | Val 0.000696 | TF 0.6096 | best 0.000696@109
[lr0.0003_k1.5_osc25_vh32] Epoch 0110 | Train 0.000556 | Val 0.000645 | TF 0.6060 | best 0.000645@110
[lr0.0003_k1.5_osc25_vh32] Epoch 0111 | Train 0.000555 | Val 0.000712 | TF 0.6024 | best 0.000645@110
[lr0.0003_k1.5_osc25_vh32] Epoch 0112 | Train 0.000544 | Val 0.000700 | TF 0.5988 | best 0.000645@110
[lr0.0003_k1.5_osc25_vh32] Epoch 0113 | Train 0.000519 | Val 0.000657 | TF 0.5952 | best 0.000645@110
[lr0.0003_k1.5_osc25_vh32] Epoch 0114 | Train 0.000515 | Val 0.000646 | TF 0.5916 | best 0.000645@110
[lr0.0003_k1.5_osc25_vh32] Epoch 0115 | Train 0.000498 | Val 0.000631 | TF 0.5880 | best 0.000631@115
[lr0.0003_k1.5_osc25_vh32] Epoch 0116 | Train 0.000493 | Val 0.000638 | TF 0.5843 | best 0.000631@115
[lr0.0003_k1.5_osc25_vh32] Epoch 0117 | Train 0.000477 | Val 0.000628 | TF 0.5807 | best 0.000628@117
[lr0.0003_k1.5_osc25_vh32] Epoch 0118 | Train 0.000465 | Val 0.000581 | TF 0.5771 | best 0.000581@118
[lr0.0003_k1.5_osc25_vh32] Epoch 0119 | Train 0.000451 | Val 0.000562 | TF 0.5735 | best 0.000562@119
[lr0.0003_k1.5_osc25_vh32] Epoch 0120 | Train 0.000451 | Val 0.000561 | TF 0.5699 | best 0.000561@120
[lr0.0003_k1.5_osc25_vh32] Epoch 0121 | Train 0.000433 | Val 0.000565 | TF 0.5663 | best 0.000561@120
[lr0.0003_k1.5_osc25_vh32] Epoch 0122 | Train 0.000422 | Val 0.000538 | TF 0.5627 | best 0.000538@122
[lr0.0003_k1.5_osc25_vh32] Epoch 0123 | Train 0.000415 | Val 0.000534 | TF 0.5590 | best 0.000534@123
[lr0.0003_k1.5_osc25_vh32] Epoch 0124 | Train 0.000406 | Val 0.000525 | TF 0.5554 | best 0.000525@124
[lr0.0003_k1.5_osc25_vh32] Epoch 0125 | Train 0.000387 | Val 0.000536 | TF 0.5518 | best 0.000525@124
[lr0.0003_k1.5_osc25_vh32] Epoch 0126 | Train 0.000389 | Val 0.000505 | TF 0.5482 | best 0.000505@126
[lr0.0003_k1.5_osc25_vh32] Epoch 0127 | Train 0.000383 | Val 0.000453 | TF 0.5446 | best 0.000453@127
[lr0.0003_k1.5_osc25_vh32] Epoch 0128 | Train 0.000377 | Val 0.000450 | TF 0.5410 | best 0.000450@128
[lr0.0003_k1.5_osc25_vh32] Epoch 0129 | Train 0.000360 | Val 0.000474 | TF 0.5373 | best 0.000450@128
[lr0.0003_k1.5_osc25_vh32] Epoch 0130 | Train 0.000348 | Val 0.000443 | TF 0.5337 | best 0.000443@130
[lr0.0003_k1.5_osc25_vh32] Epoch 0131 | Train 0.000344 | Val 0.000421 | TF 0.5301 | best 0.000421@131
[lr0.0003_k1.5_osc25_vh32] Epoch 0132 | Train 0.000349 | Val 0.000415 | TF 0.5265 | best 0.000415@132
[lr0.0003_k1.5_osc25_vh32] Epoch 0133 | Train 0.000337 | Val 0.000447 | TF 0.5229 | best 0.000415@132
[lr0.0003_k1.5_osc25_vh32] Epoch 0134 | Train 0.000318 | Val 0.000441 | TF 0.5193 | best 0.000415@132
