/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.001_k0.5_osc50_vh32] Epoch 0001 | Train 0.020244 | Val 0.011394 | TF 1.0000 | best 0.011394@1
[lr0.001_k0.5_osc50_vh32] Epoch 0002 | Train 0.011095 | Val 0.009399 | TF 0.9964 | best 0.009399@2
[lr0.001_k0.5_osc50_vh32] Epoch 0003 | Train 0.009739 | Val 0.009157 | TF 0.9928 | best 0.009157@3
[lr0.001_k0.5_osc50_vh32] Epoch 0004 | Train 0.009166 | Val 0.008364 | TF 0.9892 | best 0.008364@4
[lr0.001_k0.5_osc50_vh32] Epoch 0005 | Train 0.008475 | Val 0.007392 | TF 0.9855 | best 0.007392@5
[lr0.001_k0.5_osc50_vh32] Epoch 0006 | Train 0.006575 | Val 0.004979 | TF 0.9819 | best 0.004979@6
[lr0.001_k0.5_osc50_vh32] Epoch 0007 | Train 0.004394 | Val 0.003500 | TF 0.9783 | best 0.003500@7
[lr0.001_k0.5_osc50_vh32] Epoch 0008 | Train 0.003179 | Val 0.002878 | TF 0.9747 | best 0.002878@8
[lr0.001_k0.5_osc50_vh32] Epoch 0009 | Train 0.002464 | Val 0.002205 | TF 0.9711 | best 0.002205@9
[lr0.001_k0.5_osc50_vh32] Epoch 0010 | Train 0.001907 | Val 0.001804 | TF 0.9675 | best 0.001804@10
[lr0.001_k0.5_osc50_vh32] Epoch 0011 | Train 0.001601 | Val 0.001817 | TF 0.9639 | best 0.001804@10
[lr0.001_k0.5_osc50_vh32] Epoch 0012 | Train 0.001424 | Val 0.001406 | TF 0.9602 | best 0.001406@12
[lr0.001_k0.5_osc50_vh32] Epoch 0013 | Train 0.001274 | Val 0.001624 | TF 0.9566 | best 0.001406@12
[lr0.001_k0.5_osc50_vh32] Epoch 0014 | Train 0.001135 | Val 0.001137 | TF 0.9530 | best 0.001137@14
[lr0.001_k0.5_osc50_vh32] Epoch 0015 | Train 0.001037 | Val 0.001184 | TF 0.9494 | best 0.001137@14
